G1	S/G2
5.25	14
6.5	14.25
6.75	14.5
5	10.5
9	9.25
10.25	7.5
7	9.25
5.75	10.5
8.25	10
5.75	14.5
5.75	14
6.25	11.75
5.5	9
6.5	10
6.25	10.25
4.75	9.25
6.75	8.25
5.5	9.25
5.5	9
7.25	8.25
4.5	8
4.75	9.5
7.5	9.25
7.75	7.5
10.75	10.75
11	9.5
6	9
7.5	11
4.5	11
4	9
5.5	8.5
5	8.5
6	8.5
5.25	8.75
7	8.75
4.5	8.5
8.75	13.25
5.5	9
5	7.25
5.5	9.25
5.25	8
5	8.5
5.5 
4.5 
7.5 
5.5 
